iter	Passed	Remaining
294	1515	2595
295	1529	2604
296	1531	2593
297	1533	2582
298	1534	2571
299	1544	2573
300	1545	2561
301	1546	2550
302	1550	2542
303	1551	2530
304	1561	2534
305	1564	2525
306	1571	2522
307	1574	2515
308	1577	2505
309	1579	2496
310	1580	2485
311	1582	2474
312	1583	2463
313	1585	2453
314	1586	2442
315	1587	2431
316	1588	2420
317	1589	2409
318	1592	2400
319	1598	2398
320	1606	2397
321	1608	2387
322	1616	2387
323	1617	2376
324	1619	2366
325	1620	2355
326	1621	2345
327	1627	2341
328	1630	2334
329	1638	2334
330	1640	2324
331	1644	2317
332	1646	2309
333	1651	2304
334	1652	2294
335	1653	2283
336	1654	2273
337	1657	2265
338	1659	2256
339	1661	2247
340	1666	2243
341	1674	2241
342	1678	2236
343	1683	2232
344	1690	2229
345	1696	2225
346	1702	2223
347	1704	2213
348	1705	2204
349	1710	2199
350	1715	2194
351	1716	2184
352	1717	2175
353	1720	2167
354	1721	2157
355	1726	2152
356	1727	2144
357	1730	2136
358	1735	2131
359	1736	2122
360	1750	2128
361	1754	2123
362	1758	2117
363	1763	2112
364	1769	2108
365	1773	2103
366	1775	2094
367	1781	2091
368	1785	2085
369	1791	2082
370	1796	2076
371	1797	2067
372	1807	2068
373	1811	2063
374	1818	2061
375	1822	2055
376	1823	2046
377	1824	2037
378	1830	2033
379	1831	2024
380	1833	2016
381	1834	2007
382	1839	2002
383	1844	1998
384	1851	1995
385	1852	1986
386	1853	1977
387	1854	1969
388	1855	1960
389	1856	1951
390	1857	1943
391	1858	1934
392	1862	1928
393	1864	1921
394	1866	1913
395	1868	1906
396	1870	1898
397	1873	1892
398	1877	1887
399	1879	1879
400	1881	1871
401	1883	1864
402	1888	1860
403	1891	1854
404	1893	1846
405	1899	1843
406	1901	1836
407	1903	1828
408	1904	1821
409	1906	1813
410	1908	1805
411	1909	1798
412	1911	1790
413	1912	1783
414	1914	1775
415	1915	1768
416	1917	1761
